customer_id,name,email,phone,signup_date
1,Duane Pearson,julieguerra@gmail.com,(819)400-1129,2023-11-20
2,John Sharp,sgross@turner.biz,(370)704-3737x51435,2023-06-10
3,Heather Baker,edwinnichols@turner.com,9749091261,2025-01-01
4,Justin Wood,stephensmiranda@hotmail.com,004-896-5608x4695,2023-07-29
5,Linda Edwards,xrosario@yahoo.com,(123)400-1522x90401,2023-12-11
6,Jeffrey Watkins,andrewhernandez@gmail.com,220.943.4220x824,2022-10-13
7,Kimberly Ward,hclark@hotmail.com,001-372-307-3571x361,2024-07-21
8,David Jimenez,juliebooth@yahoo.com,(585)355-9951,2023-10-06
9,Wayne Wright,john72@young-rollins.net,860-641-4425x0969,2023-03-29
10,Jonathan Lyons,nguyenmichael@rice.biz,958.454.5052,2024-12-26
11,David Williams,gjenkins@gmail.com,+1-856-835-0518x344,2022-07-20
12,Jack Green,martinezjoshua@hotmail.com,033-693-6834x02110,2023-07-26
13,Paul Stone,xjohnson@gmail.com,930-966-6349x1660,2024-01-05
14,Katherine Richmond,michael43@key-trujillo.com,931-210-8110,2023-05-06
15,Kaitlin Mcfarland,valentinejoy@guzman.org,001-687-066-6884x331,2024-04-07
16,Kyle Lewis,tracykramer@reese.com,(439)346-9898x473,2024-08-12
17,Danielle Stewart,xthompson@holmes.com,+1-584-962-0032x30201,2025-01-03
18,Matthew Moyer,brucetravis@hotmail.com,(555)505-1817x614,2023-02-06
19,Jason Phillips,wsimpson@smith.com,080-026-4913,2023-10-16
20,Karen Kirk,xadams@gmail.com,531.779.1053x7256,2023-11-20
21,Steven Crawford,melaniepayne@hotmail.com,900-002-4201,2022-12-26
22,James Johnson,nathanielperkins@yahoo.com,+1-744-112-8484,2023-03-02
23,William Thompson,kayla21@hotmail.com,+1-404-789-1367x161,2025-02-07
24,William Malone,patrickyoung@watts.com,455-097-3330,2024-12-27
25,Karen Walker,maureen98@brady-crawford.com,+1-734-446-3464x749,2024-04-07
26,Latoya Wright,joneskimberly@monroe.com,+1-815-958-8123x6886,2024-01-21
27,Matthew Werner,joelwatson@wright.com,001-225-494-5703x176,2024-09-28
28,Amy Whitaker,mariaramirez@atkinson.com,141.423.7574x54517,2023-05-30
29,Cheryl Jones,mary76@yahoo.com,815.916.6551x728,2024-01-26
30,Billy Robinson,castillochristopher@pruitt-moore.com,+1-294-531-9651x64418,2025-03-28
31,Gavin Foley,jessica80@alvarado.info,001-961-990-9798x96591,2023-05-21
32,Justin Porter,cookrebekah@hotmail.com,001-167-165-6709,2024-08-29
33,Jessica Burnett,simonandrea@gmail.com,852.857.9401,2023-11-09
34,Donna Lyons,rosskristen@hotmail.com,118-811-6787x34808,2023-10-14
35,David Woodard,qbrooks@gmail.com,001-695-402-3134x268,2023-04-05
36,Peggy Reyes,odavis@hotmail.com,+1-957-001-6845x1224,2025-02-06
37,Carrie Stone,bradleymedina@yahoo.com,001-760-409-6262x9225,2024-11-02
38,Michelle Harris,davidsmith@hotmail.com,+1-532-727-2066,2024-05-23
39,Donald Perkins,sharon73@allen.com,450.883.0682x9481,2024-04-20
40,Amber Hahn,thernandez@gmail.com,919.163.7980x047,2023-01-17
41,Michael Schmidt,bethhart@smith-hoffman.info,015.242.4431x0299,2023-05-07
42,Anna Woodard,qdelgado@gmail.com,9254270983,2022-11-18
43,Kayla Martinez,kimberlylopez@garcia-morrow.net,+1-305-450-8275x9868,2023-12-28
44,Mrs. Toni Ramirez DDS,qrios@hotmail.com,(232)864-2504,2024-02-27
45,Joel Huynh,dillon58@hotmail.com,066-124-5011x6012,2025-02-17
46,Samuel Wilson,vazquezbrian@white-garcia.org,(926)216-8472x0206,2023-04-02
47,Eric Trujillo,jonathan29@burgess-kaiser.com,+1-568-642-9617x24727,2025-04-17
48,Joseph Peters,hamiltonbrandon@yahoo.com,(203)744-5719x9167,2023-04-10
49,Charles Sims,stephaniegarcia@gmail.com,813.664.9290x703,2024-08-16
50,Sarah Carter,jeffersonjeffrey@yahoo.com,(470)649-2225,2025-05-18
51,Robert Davis,leonjoshua@hotmail.com,001-952-414-3456x466,2023-05-08
52,Angela Mason,jessicawilliams@allen.com,+1-997-949-7567x5646,2025-03-25
53,James Walls,robinsonjacqueline@gmail.com,(940)324-2216x4532,2025-04-24
54,Zachary Vazquez,torrescody@campbell.com,900-581-9836x51469,2022-09-01
55,Maxwell Herrera,ngutierrez@ellis.info,+1-341-080-7509,2023-11-01
56,Timothy Lewis,rebecca51@gmail.com,(402)942-2085x95031,2023-01-15
57,Melissa Davis,autumn59@gmail.com,197-166-5536x018,2022-10-16
58,John Smith,lambertedward@harris-gonzalez.com,491-792-1651x4811,2022-11-05
59,Shannon Merritt,yclements@gmail.com,737-021-5384,2023-11-29
60,Damon Nguyen,mwalker@hotmail.com,213-124-3466,2025-05-21
61,Ronald Rodriguez,fdudley@perez-hill.com,6014612058,2023-08-05
